Time,Carrier_Phase
2025-01-24 00:00:00,0.08148458136550979
2025-01-24 00:00:30,0.08180439056674231
2025-01-24 00:01:00,0.08213235426553615
2025-01-24 00:01:30,0.08246363072896426
2025-01-24 00:02:00,0.08281605792044201
2025-01-24 00:02:30,0.08322454728265376
2025-01-24 00:03:00,0.08350358399607972
2025-01-24 00:03:30,0.08399234419366058
2025-01-24 00:04:00,0.08424207568147563
2025-01-24 00:04:30,0.08462380809856432
2025-01-24 00:05:00,0.08504478403516681
2025-01-24 00:05:30,0.08533656215103234
2025-01-24 00:06:00,0.08571778491202346
2025-01-24 00:06:30,0.08604116170593905
2025-01-24 00:07:00,0.08641932653034468
2025-01-24 00:07:30,0.08667288043889158
2025-01-24 00:08:00,0.08697739995719665
2025-01-24 00:08:30,0.08743099388404438
2025-01-24 00:09:00,0.08777399243771686
2025-01-24 00:09:30,0.088082079548705
2025-01-24 00:10:00,0.08842635224262145
2025-01-24 00:10:30,0.08874667109995156
2025-01-24 00:11:00,0.08910139174386843
2025-01-24 00:11:30,0.08946630550973692
2025-01-24 00:12:00,0.08976827674755407
2025-01-24 00:12:30,0.09014618674391091
2025-01-24 00:13:00,0.09045988007197246
2025-01-24 00:13:30,0.09080185931344979
2025-01-24 00:14:00,0.09115759926956181
2025-01-24 00:14:30,0.09151690681835693
2025-01-24 00:15:00,0.09178702455007523
2025-01-24 00:15:30,0.09213002310374772
2025-01-24 00:16:00,0.0925148134574219
2025-01-24 00:16:30,0.09278059911231078
2025-01-24 00:17:00,0.09313786803671553
2025-01-24 00:17:30,0.09344748411599643
2025-01-24 00:18:00,0.09378258300015642
2025-01-24 00:18:30,0.09414520331358579
2025-01-24 00:19:00,0.0944346879770122
2025-01-24 00:19:30,0.09470123811604743
2025-01-24 00:20:00,0.09507710948801394
2025-01-24 00:20:30,0.09539156730022184
2025-01-24 00:21:00,0.09569787061486847
2025-01-24 00:21:30,0.09594913107097625
2025-01-24 00:22:00,0.09636042354172468
2025-01-24 00:22:30,0.09663996991124825
2025-01-24 00:23:00,0.09701074472223893
2025-01-24 00:23:30,0.09726506311493222
2025-01-24 00:24:00,0.09758206920762803
2025-01-24 00:24:30,0.09790824911008032
2025-01-24 00:25:00,0.09825405077228952
2025-01-24 00:25:30,0.09848874740522588
2025-01-24 00:26:00,0.09881263385523907
2025-01-24 00:26:30,0.09909319953695779
2025-01-24 00:27:00,0.09940638320892176
2025-01-24 00:27:30,0.09974173692113052
2025-01-24 00:28:00,0.09999758428211654
2025-01-24 00:28:30,0.10025317681505377
2025-01-24 00:29:00,0.10058317913823792
2025-01-24 00:29:30,0.10095548291752135
2025-01-24 00:30:00,0.10117438021143269
2025-01-24 00:30:30,0.10146666798339582
2025-01-24 00:31:00,0.1018540066175579
2025-01-24 00:31:30,0.10204563731024863
2025-01-24 00:32:00,0.10235601787367589
2025-01-24 00:32:30,0.10266690809320073
2025-01-24 00:33:00,0.10292046200174763
2025-01-24 00:33:30,0.1032586188224931
2025-01-24 00:34:00,0.10353612656762633
2025-01-24 00:34:30,0.10379783497373453
2025-01-24 00:35:00,0.1040888486054537
2025-01-24 00:35:30,0.10440228710546644
2025-01-24 00:36:00,0.104659918262794
2025-01-24 00:36:30,0.10503273169817501
2025-01-24 00:37:00,0.10520244717866972
2025-01-24 00:37:30,0.10549830254331591
2025-01-24 00:38:00,0.10578396478601047
2025-01-24 00:38:30,0.10605765011041184
2025-01-24 00:39:00,0.10632420024944705
2025-01-24 00:39:30,0.10661190111653193
2025-01-24 00:40:00,0.10690648234093417
2025-01-24 00:40:30,0.10716971971533512
2025-01-24 00:41:00,0.10739091046168558
2025-01-24 00:41:30,0.10765032541535467
2025-01-24 00:42:00,0.10797064427268477
2025-01-24 00:42:30,0.1082568161714769
2025-01-24 00:43:00,0.10851801492148754
2025-01-24 00:43:30,0.10872111287637383
2025-01-24 00:44:00,0.1089782343776038
2025-01-24 00:44:30,0.10926746421298143
2025-01-24 00:45:00,0.1095217826056747
2025-01-24 00:45:30,0.10977890410690466
2025-01-24 00:46:00,0.11002226489349994
2025-01-24 00:46:30,0.11029569538985252
2025-01-24 00:47:00,0.11056606794961962
2025-01-24 00:47:30,0.11087823230938842
2025-01-24 00:48:00,0.1110372450118339
2025-01-24 00:48:30,0.11128595718745378
2025-01-24 00:49:00,0.11155276215453781
2025-01-24 00:49:30,0.11186033960942836
2025-01-24 00:50:00,0.1120738855143151
2025-01-24 00:50:30,0.1122881959033482
2025-01-24 00:51:00,0.1125641746801887
2025-01-24 00:51:30,0.11280498718629606
2025-01-24 00:52:00,0.11298030888386416
2025-01-24 00:52:30,0.1132827897777789
2025-01-24 00:53:00,0.1134333931546143
2025-01-24 00:53:30,0.11370325605828382
2025-01-24 00:54:00,0.11397872517902673
2025-01-24 00:54:30,0.1142136766400119
2025-01-24 00:55:00,0.11450698372417017
2025-01-24 00:55:30,0.11473836759247227
2025-01-24 00:56:00,0.11493636898638278
2025-01-24 00:56:30,0.11513564452053722
2025-01-24 00:57:00,0.11542181641932935
2025-01-24 00:57:30,0.11565727753641208
2025-01-24 00:58:00,0.1158185836912967
2025-01-24 00:58:30,0.11612870942667516
2025-01-24 00:59:00,0.11631091148156063
2025-01-24 00:59:30,0.116556565720595
2025-01-24 01:00:00,0.11676985679743296
2025-01-24 01:00:30,0.11697575786085596
2025-01-24 01:01:00,0.1171921068742794
2025-01-24 01:01:30,0.11743011627185006
2025-01-24 01:02:00,0.1176209824803944
2025-01-24 01:02:30,0.11781235834503634
